RaceNumber,CardNumbers,Name,Club,Country,CourseClass,RaceTime,Position,BehindTime,Stage 1 - BABY HEAD Time,Stage 1 - BABY HEAD Pos,Stage 2 - LITTLE MOAB Time,Stage 2 - LITTLE MOAB Pos,Stage 3 - TIN MINE Time,Stage 3 - TIN MINE Pos,Stage 4 - G.I. JOE Time,Stage 4 - G.I. JOE Pos,Stage 5 - LA ESPINA LEDGE Time,Stage 5 - LA ESPINA LEDGE Pos
35,8032651,Michael Ordonez,,SAN,Beginner Men Open ,11:31.5,1,,02:55.6,2,04:22.8,2,01:13.4,1,01:22.2,1,01:37.2,1
22,8032608,Adam Becerra,Dog Speed,EL ,Beginner Men Open ,12:06.7,2,+0:35.22,02:53.3,1,04:19.7,1,01:27.5,2,01:36.6,2,01:49.4,2
8,8032637,Cesar Gallegos,,HOR,Beginner Men Open ,14:21.9,3,+2:50.44,03:16.3,4,04:48.6,4,01:50.8,3,01:58.1,5,02:28.0,3
74,8032643,Victor Cordero,,EL ,Beginner Men Open ,15:13.5,4,+3:42.03,03:16.1,3,04:24.3,3,02:18.7,6,01:57.4,4,03:16.9,6
16,8143954,Raul Carrillo,,,Beginner Men Open ,16:20.2,5,+4:48.72,04:08.1,6,05:28.6,5,02:16.2,5,01:54.9,3,02:32.3,4
77,8032623,Lloyd Hamilton,Lloyd Hamilton Construction,EL ,Beginner Men Open ,16:46.6,6,+5:15.16,03:55.7,5,05:30.0,6,02:07.4,4,02:35.1,6,02:38.2,5
33,8143966,Eduardo Guerra,,EL ,Beginner Men Open ,23:02.8,7,+11:31.29,05:20.1,7,07:35.7,7,03:25.7,7,02:52.5,7,03:48.6,7
36,8032666,Fernanda Polanco ,Handske,,Women Open,13:28.9,1,,03:09.9,1,04:38.6,1,01:40.6,2,01:42.4,1,02:17.3,2
29,8032648,Kim Waechter,,EL ,Women Open,14:25.8,2,+0:56.90,03:16.9,3,05:04.4,3,01:42.5,3,02:11.3,4,02:10.5,1
52,8032649,Jennifer Morrow,,LAS,Women Open,14:28.5,3,+0:59.58,03:19.3,4,05:13.1,5,01:27.7,1,02:03.2,3,02:25.0,3
16,8032656,Norma Rivera,Last Sundays Ride,EL ,Women Open,14:35.3,4,+1:06.39,03:12.7,2,04:54.0,2,01:43.5,4,02:14.1,5,02:30.8,5
48,8032645,Genesis Garcia,Crazy Cat Cyclery,,Women Open,17:44.8,5,+4:15.87,06:25.0,5,05:05.6,4,01:43.9,5,02:02.5,2,02:27.6,4
20,8032665,Perla Reyes,Last Sunday Ride,,Women Open,19:46.7,6,+6:17.80,06:38.7,6,05:33.2,6,02:00.2,6,02:15.8,6,03:18.6,6
24,8032634,Ramon Gamez,,EL ,18-29 Men,11:34.0,1,,02:46.4,1,04:07.4,3,01:15.2,1,01:42.3,2,01:42.5,2
5,8032632,Blas Meza,,,18-29 Men,11:42.1,2,+0:08.12,02:57.4,2,03:48.5,1,01:37.9,4,01:31.8,1,01:46.3,3
42,8032612,Luis Encerrado,Handske,,18-29 Men,12:57.1,3,+1:23.12,03:58.4,4,04:00.9,2,01:19.7,2,02:04.6,4,01:33.4,1
14,8032616,Issac Munoz,,EL ,18-29 Men,13:06.2,4,+1:32.24,03:07.0,3,04:18.8,4,01:29.6,3,01:44.8,3,02:25.9,4
38,8143971,Will Palafox,Podium Finish Sport Boutique,EL ,30-39 Men,10:09.1,1,,02:38.4,1,03:32.0,1,01:08.6,4,01:18.7,4,01:31.3,5
39,8032646,Eddie Sanchez,EP Enduro/ NorthCrew / The Shock Lab,EL ,30-39 Men,10:17.9,2,+0:08.78,02:44.8,3,03:49.4,2,01:01.4,2,01:17.5,3,01:24.6,3
69,8032642,Wayne Shaffer,Bicycle Experience,,30-39 Men,10:31.5,3,+0:22.41,02:51.2,5,03:50.3,3,01:07.2,3,01:22.5,5,01:20.1,1
26,8143978,John Shredsalot,SNMTB/ The Shock Lab / EP Enduro,LAS,30-39 Men,12:17.1,4,+2:08.06,02:46.4,4,05:55.8,9,00:58.7,1,01:13.0,2,01:23.1,2
17,8143965,Hector Rodriguez,,,30-39 Men,13:09.8,5,+3:00.76,03:10.5,6,04:21.4,4,01:45.4,8,02:11.3,9,01:41.1,6
4,8032653,Christian Ottobre,Donkey Show Bicycle Club,,30-39 Men,13:16.5,6,+3:07.38,02:43.0,2,06:42.0,10,01:11.2,5,01:12.8,1,01:27.4,4
2,8032654,Angel Valles,,,30-39 Men,13:34.9,7,+3:25.87,03:22.8,9,04:36.2,6,01:52.3,9,01:49.1,8,01:54.4,8
37,8032611,Christopher Beversdorf,TACOCAT,EL ,30-39 Men,14:11.1,8,+4:02.02,03:15.6,7,05:41.2,8,01:31.0,6,01:36.0,7,02:07.2,10
90,8032630,Moses Teliz,,,30-39 Men,18:10.4,9,+8:01.35,06:41.0,10,04:39.5,7,01:35.6,7,03:25.3,10,01:48.9,7
41,8143980,Arturo Garcia,,,30-39 Men,20:34.6,10,+10:25.49,03:21.3,8,04:31.9,5,09:12.5,10,01:32.3,6,01:56.4,9
3,8032675,Drew Drennan,,SPR,30-39 Men,,,,06:43.4,11,,,,,,,,
23,8032625,Arnold Rodriguez,Chuco MTB,EL ,40-49 Men,09:47.4,1,,02:36.3,2,03:28.8,2,01:01.5,1,01:19.1,3,01:21.6,1
40,8143982,Sergio Acosta ,,,40-49 Men,10:10.6,2,+0:23.14,02:34.9,1,03:27.4,1,01:23.2,3,01:13.8,2,01:31.1,3
34,8032622,Mathieu Maillon,,,40-49 Men,12:11.5,3,+2:24.08,03:05.4,4,04:20.8,4,01:29.8,4,01:33.5,4,01:41.8,4
47,8032619,Brian Canales,Desert Downs ,EL ,40-49 Men,13:22.1,4,+3:34.66,02:59.1,3,04:25.1,5,01:35.8,5,02:01.6,5,02:20.3,5
53,8032674,Mark Nevarez,,LAS,40-49 Men,13:37.6,5,+3:50.19,06:05.1,5,03:36.9,3,01:17.9,2,01:12.0,1,01:25.6,2
9,8032609,Mario Lopez,Podium Finish ,EL ,50+ Men,12:14.2,1,,03:01.1,1,04:13.0,1,01:34.6,1,01:37.3,1,01:48.0,1
15,8032647,Miguel Rico,,EL ,50+ Men,20:56.2,2,+8:42.06,04:40.5,2,06:07.5,2,02:45.4,2,02:45.5,2,04:37.1,2
31,8032676,Tom Baumann,The Flying Cannoli,EL ,50+ Men,29:58.9,3,+17:44.74,05:13.6,3,09:26.0,3,04:11.5,3,03:20.5,3,07:47.2,3
11,8143950,Lee Shamaley,,,E-Bike,13:33.1,1,,02:41.1,1,05:33.0,1,01:25.7,1,01:44.7,1,02:08.5,1
27,8143956,Fabrizzio Delgado,,,E-Bike,22:58.0,2,+9:24.95,05:12.2,2,06:00.9,2,03:42.6,2,03:17.1,2,04:45.1,2
30,8032613,Humberto Arevalo,The shock lab,EL ,Expert Men,08:15.0,1,,02:18.5,1,02:55.1,1,00:51.5,1,01:03.9,2,01:05.9,1
49,8032635,Edgar Ramirez,The Shock Lab,EL ,Expert Men,08:36.2,2,+0:21.19,02:19.1,2,03:10.3,2,00:51.7,2,01:01.6,1,01:13.4,5
6,8032633,Ivan Valdez ,Salt Cycles,,Expert Men,08:45.2,3,+0:30.26,02:22.8,4,03:15.4,4,00:52.0,3,01:04.1,3,01:10.7,3
